antenna,channel,eventNum,format,idHex,peakRssi,phase,reads,timestamp,type,timestampConverted
4,865.7,1694,epc,303800000444a10000000016,-62,-142.13995361328125,1,2026-03-31T10:01:00.650000+00:00,CUSTOM,1774951260650
4,865.7,1695,epc,e28069950000400f97d63a43,-62,-6.591998100280762,1,2026-03-31T10:01:00.660000+00:00,CUSTOM,1774951260660
1,865.7,1696,epc,e28011c1a50000703efcc6ec,-62,-55.9715576171875,1,2026-03-31T10:01:00.732000+00:00,CUSTOM,1774951260732
1,865.7,1697,epc,e28069950000500f97d54651,-59,-137.6903533935547,1,2026-03-31T10:01:00.732000+00:00,CUSTOM,1774951260732
1,865.7,1698,epc,e28069950000500f97d3ee53,-60,107.1474380493164,1,2026-03-31T10:01:00.742000+00:00,CUSTOM,1774951260742
1,865.7,1699,epc,e28069950000500f97d85e44,-58,-129.4833221435547,1,2026-03-31T10:01:00.753000+00:00,CUSTOM,1774951260753
1,865.7,1700,epc,e28069950000400f97d7aa44,-61,-109.55900573730469,1,2026-03-31T10:01:00.763000+00:00,CUSTOM,1774951260763
1,865.7,1701,epc,e28069950000400f97d37e52,-58,-36.44276428222656,1,2026-03-31T10:01:00.773000+00:00,CUSTOM,1774951260773
2,865.7,1702,epc,e28069950000500f97d6fa55,-70,-167.40928649902344,1,2026-03-31T10:01:00.793000+00:00,CUSTOM,1774951260793
2,865.7,1703,epc,e28011b0a5050077ab397ac9,-66,-95.73778533935547,1,2026-03-31T10:01:00.793000+00:00,CUSTOM,1774951260793
2,865.7,1704,epc,303800000222a00000000015,-61,120.46876525878906,1,2026-03-31T10:01:00.794000+00:00,CUSTOM,1774951260794
2,865.7,1705,epc,e28011c1a5000062f794a5dc,-70,-86.99789428710938,1,2026-03-31T10:01:00.804000+00:00,CUSTOM,1774951260804
2,865.7,1706,epc,e28069950000500f97d83a52,-65,-170.7162628173828,1,2026-03-31T10:01:00.814000+00:00,CUSTOM,1774951260814
2,865.7,1707,epc,e28069950000500f97d30251,-67,163.838623046875,1,2026-03-31T10:01:00.814000+00:00,CUSTOM,1774951260814
2,865.7,1708,epc,e28069950000500f97d6ae52,-65,-154.10443115234375,1,2026-03-31T10:01:00.825000+00:00,CUSTOM,1774951260825
2,865.7,1709,epc,e28011b0a5050077ab36c7a4,-71,46.31428146362305,1,2026-03-31T10:01:00.825000+00:00,CUSTOM,1774951260825
3,865.7,1710,epc,e28011b0a5050077ab397ab9,-30,20.061647415161133,1,2026-03-31T10:01:00.835000+00:00,CUSTOM,1774951260835
3,865.7,1711,epc,303800000666e10000000055,-56,-9.432050704956055,1,2026-03-31T10:01:00.855000+00:00,CUSTOM,1774951260855
3,865.7,1712,epc,e28069950000500f97d3ae52,-54,117.35953521728516,1,2026-03-31T10:01:00.856000+00:00,CUSTOM,1774951260856
3,865.7,1713,epc,e28069950000500f97d2ca51,-57,-20.726341247558594,1,2026-03-31T10:01:00.856000+00:00,CUSTOM,1774951260856
3,865.7,1714,epc,303800000aaa900000000015,-53,160.88320922851562,1,2026-03-31T10:01:00.865000+00:00,CUSTOM,1774951260865
3,865.7,1715,epc,e28069950000500f97d83a52,-56,82.53181457519531,1,2026-03-31T10:01:00.876000+00:00,CUSTOM,1774951260876
3,865.7,1716,epc,e28011b0a5050077ab3a2d16,-62,80.98818969726562,1,2026-03-31T10:01:00.876000+00:00,CUSTOM,1774951260876
